timestamp_ms,stream_type,seq,packet_bytes,decrypt_time_ms,latency_ms,jitter_ms,packet_lost,underrun,queue_size,decode_ok,play_ok
1774052525438,audio,178,2098,0.10744399969553342,2,0,0,0,17,1,1
1774052525450,video,60,18864,0.11520899988681776,3,1,0,0,0,1,1
1774052525462,audio,179,2098,0.08687500030646333,3,1,0,0,17,1,1
1774052525485,audio,180,2098,0.1426799999535433,2,1,0,0,18,1,1
1774052525508,audio,181,2098,0.08656400041218149,2,0,0,0,17,1,1
1774052525517,video,61,18633,0.10861600003408967,4,1,0,0,0,1,1
1774052525531,audio,182,2098,0.09765499999048188,2,0,0,0,16,1,1
1774052525555,audio,183,2098,0.1080149995686952,3,1,0,0,17,1,1
1774052525578,audio,184,2098,0.10776399994938402,2,1,0,0,16,1,1
1774052525584,video,62,18642,0.12993600012123352,4,0,0,0,0,1,1
1774052525601,audio,185,2098,0.10603099963191198,2,0,0,0,17,1,1
1774052525624,audio,186,2098,0.1080250003724359,2,0,0,0,16,1,1
1774052525648,audio,187,2098,0.10900599954766221,2,0,0,0,17,1,1
1774052525650,video,63,18645,0.1304969991906546,3,1,0,0,0,1,1
1774052525671,audio,188,2098,0.10534000011830358,2,0,0,0,16,1,1
1774052525694,audio,189,2098,0.10631199984345585,2,0,0,0,17,1,1
1774052525718,audio,190,2098,0.157257999489957,3,1,0,0,17,1,1
1774052525717,video,64,18700,0.11148100020363927,3,0,0,0,0,1,1
1774052525741,audio,191,2098,0.09532100011711009,2,1,0,0,18,1,1
1774052525764,audio,192,2098,0.08209499992517522,2,0,0,0,17,1,1
1774052525784,video,65,18653,0.10691300030885031,4,1,0,0,0,1,1
1774052525787,audio,193,2098,0.07732700032647699,2,0,0,0,16,1,1
1774052525811,audio,194,2098,0.10563999967416748,2,0,0,0,17,1,1
1774052525834,audio,195,2098,0.07612500030518277,2,0,0,0,16,1,1
1774052525850,video,66,18609,0.12644899925362552,3,1,0,0,0,1,1
1774052525857,audio,196,2098,0.07717700009379769,2,0,0,0,17,1,1
1774052525881,audio,197,2098,0.0899500000741682,3,1,0,0,16,1,1
1774052525904,audio,198,2098,0.07173599988163915,2,1,0,0,17,1,1
1774052525917,video,67,18477,0.11216199982300168,3,0,0,0,0,1,1
1774052525927,audio,199,2098,0.07927099977678154,2,0,0,0,16,1,1
1774052525950,audio,200,2098,0.0731979998818133,2,0,0,0,17,1,1
1774052525974,audio,201,2098,0.09345700073026819,2,0,0,0,17,1,1
1774052525984,video,68,18595,0.1327520003542304,3,0,0,0,0,1,1
1774052525997,audio,202,2098,0.10483900041435845,2,0,0,0,18,1,1
1774052526020,audio,203,2098,0.08698500005266396,2,0,0,0,17,1,1
1774052526044,audio,204,2098,0.09518000024399953,3,1,0,0,16,1,1
1774052526051,video,69,18682,0.1716860006126808,4,1,0,0,0,1,1
1774052526067,audio,205,2098,0.07958100013638614,2,1,0,0,17,1,1
1774052526090,audio,206,2098,0.0943790000746958,2,0,0,0,16,1,1
